# JD          x_km               y_km                z_km      vx_km_s        vy_km_s         vz_km_s
2458513.250 +1.81532526e+09 -5.81839747e+09 -2.28066403e+09 +5.46790360e+00 -1.20964572e+01 -4.69020372e+00
2458513.500 +1.81544337e+09 -5.81865875e+09 -2.28076534e+09 +5.46788469e+00 -1.20963966e+01 -4.69017995e+00
2458513.750 +1.81556147e+09 -5.81892003e+09 -2.28086665e+09 +5.46786577e+00 -1.20963360e+01 -4.69015620e+00
2458514.000 +1.81567958e+09 -5.81918131e+09 -2.28096796e+09 +5.46784686e+00 -1.20962754e+01 -4.69013244e+00
2458514.250 +1.81579769e+09 -5.81944259e+09 -2.28106926e+09 +5.46782795e+00 -1.20962148e+01 -4.69010868e+00
2458514.500 +1.81591579e+09 -5.81970387e+09 -2.28117057e+09 +5.46780904e+00 -1.20961542e+01 -4.69008493e+00
2458514.750 +1.81603390e+09 -5.81996515e+09 -2.28127187e+09 +5.46779013e+00 -1.20960936e+01 -4.69006118e+00
2458515.000 +1.81615200e+09 -5.82022642e+09 -2.28137318e+09 +5.46777122e+00 -1.20960330e+01 -4.69003743e+00
2458515.250 +1.81627010e+09 -5.82048769e+09 -2.28147448e+09 +5.46775231e+00 -1.20959725e+01 -4.69001378e+00
2458515.500 +1.81638821e+09 -5.82074897e+09 -2.28157579e+09 +5.46773340e+00 -1.20959119e+01 -4.68999004e+00
2458515.750 +1.81650631e+09 -5.82101024e+09 -2.28167709e+09 +5.46771450e+00 -1.20958513e+01 -4.68996630e+00
2458516.000 +1.81662441e+09 -5.82127151e+09 -2.28177839e+09 +5.46769560e+00 -1.20957908e+01 -4.68994256e+00
2458516.250 +1.81674251e+09 -5.82153278e+09 -2.28187970e+09 +5.46767670e+00 -1.20957302e+01 -4.68991882e+00
2458516.500 +1.81686061e+09 -5.82179404e+09 -2.28198100e+09 +5.46765780e+00 -1.20956697e+01 -4.68989509e+00
2458516.750 +1.81697872e+09 -5.82205531e+09 -2.28208230e+09 +5.46763890e+00 -1.20956091e+01 -4.68987135e+00
